epochs,embed_dim,test_word,sg_word_1,sg_word_2,sg_word_3,sg_word_4,sg_word_5,sg_score_1,sg_score_2,sg_score_3,sg_score_4,sg_score_5,cbow_word_1,cbow_word_2,cbow_word_3,cbow_word_4,cbow_word_5,cbow_score_1,cbow_score_2,cbow_score_3,cbow_score_4,cbow_score_5
1,300,king,mswati,queen,tuheitia,canute,herod,0.5537,0.549,0.5405,0.5335,0.5284,bhumibol,vi,prince,queen,monarch,0.5125,0.5102,0.5062,0.5054,0.4867
1,300,queen,princess,greatgreatgrandmother,sirikit,monarch,hrh,0.6021,0.578,0.567,0.5637,0.5593,princess,monarch,duchess,queens,empress,0.7128,0.5929,0.581,0.5311,0.5299
1,300,man,woman,bloke,cabbie,girl,partygoer,0.6248,0.5816,0.5744,0.5687,0.5619,woman,teenager,boy,bloke,person,0.7368,0.6788,0.6226,0.6015,0.5844
1,300,woman,man,girl,carjacker,filipina,thrillseeker,0.6248,0.6125,0.5945,0.5852,0.5723,man,teenager,girl,prostitute,schoolgirl,0.7368,0.732,0.7183,0.6464,0.6266
1,300,computer,computers,laptop,captcha,keystroke,cryptography,0.6101,0.5908,0.5863,0.5773,0.5753,computers,laptop,software,malware,desktop,0.7436,0.6696,0.6504,0.6499,0.6492
1,300,science,astrobiology,humanities,optometry,mathematics,nanoengineering,0.6193,0.606,0.6029,0.6029,0.598,physics,neuroscience,mathematics,astronomy,sciences,0.6923,0.6747,0.6594,0.6434,0.6275
1,300,university,universitys,univeristy,polytechnic,californiaberkeley,keio,0.6722,0.6545,0.6392,0.6305,0.6221,universitys,sociology,mit,college,institute,0.7402,0.6193,0.6104,0.5923,0.5895
1,300,student,straighta,premed,students,graduate,finalyear,0.5674,0.5575,0.5526,0.5464,0.5427,graduate,teacher,students,undergraduate,classmate,0.6229,0.6109,0.6067,0.5823,0.5782
1,600,king,queen,canute,luther,adulyadej,mswati,0.5372,0.5156,0.5055,0.5036,0.4963,queen,prince,monarch,vi,kings,0.4922,0.4852,0.4573,0.4434,0.4377
1,600,queen,princess,majesty,hrh,prince,monarch,0.6213,0.6158,0.583,0.579,0.5762,princess,monarch,throne,duchess,empress,0.6612,0.5752,0.5428,0.5329,0.495
1,600,man,woman,boy,person,teenager,girl,0.7301,0.6447,0.6379,0.6164,0.6017,woman,teenager,boy,guy,person,0.7245,0.6698,0.6214,0.5944,0.5928
1,600,woman,man,girl,person,teenager,boy,0.7301,0.6773,0.6529,0.645,0.618,man,girl,teenager,prostitute,person,0.7245,0.7194,0.7092,0.6284,0.6187
1,600,computer,computers,laptop,software,mainframe,spyware,0.6694,0.6267,0.6164,0.6034,0.5772,computers,laptop,software,malware,desktop,0.7315,0.6649,0.6086,0.6037,0.5971
1,600,science,mathematics,sciences,humanities,translational,biology,0.6232,0.6089,0.5791,0.5724,0.5712,physics,sciences,neuroscience,psychology,mathematics,0.6346,0.6252,0.6171,0.6161,0.6056
1,600,university,universitys,wisconsinmadison,faculty,polytechnic,suny,0.73,0.6515,0.6195,0.6172,0.6153,universitys,sociology,luniversit,mit,graduate,0.7485,0.6002,0.5966,0.5819,0.5564
1,600,student,students,graduate,teacher,undergraduate,pupil,0.6366,0.596,0.5872,0.5651,0.5369,students,graduate,teacher,undergraduate,classmate,0.608,0.5906,0.5806,0.5551,0.5524
10,300,king,queen,prince,yorkist,monarch,kings,0.639,0.6044,0.5906,0.5786,0.5702,queen,prince,throne,vi,kings,0.5836,0.5591,0.4821,0.4813,0.4719
10,300,queen,princess,monarch,majesty,duchess,queens,0.7233,0.6927,0.6892,0.6766,0.6625,princess,king,prince,duchess,monarch,0.7262,0.5836,0.5802,0.5644,0.5627
10,300,man,woman,boy,teenager,person,girl,0.839,0.7938,0.7685,0.7481,0.7339,woman,teenager,boy,girl,person,0.8098,0.75,0.7196,0.6664,0.6578
10,300,woman,man,girl,teenager,person,boy,0.839,0.8091,0.7678,0.751,0.7492,man,girl,teenager,person,boy,0.8098,0.7882,0.7749,0.6894,0.6819
10,300,computer,computers,laptop,software,desktop,smartphone,0.7709,0.7195,0.7023,0.632,0.6238,computers,laptop,server,software,desktop,0.7796,0.7019,0.6362,0.6308,0.6292
10,300,science,mathematics,sciences,physics,scientific,biology,0.7066,0.6938,0.6868,0.6799,0.672,neuroscience,sciences,physics,mathematics,astronomy,0.6811,0.6765,0.6662,0.6576,0.6375
10,300,university,universitys,institute,college,faculty,graduate,0.8074,0.7318,0.7172,0.7033,0.6963,universitys,institute,college,polytechnic,sociology,0.7641,0.6343,0.6243,0.6171,0.6097
10,300,student,teacher,students,graduate,undergraduate,school,0.7115,0.7032,0.691,0.6397,0.6208,graduate,teacher,students,undergraduate,classmate,0.6485,0.6399,0.6249,0.6165,0.6105
10,600,king,queen,revmartin,taufaahau,kings,naresuan,0.5211,0.5018,0.491,0.4727,0.467,kings,dymally,ensour,dangerfield,queen,0.4565,0.4481,0.4405,0.4308,0.4217
10,600,queen,monarch,jubilee,princess,duchess,throne,0.6332,0.5929,0.575,0.5683,0.5521,princess,monarch,empress,duchess,throne,0.6213,0.5671,0.505,0.484,0.4736
10,600,man,woman,boy,person,guy,teenager,0.7473,0.6627,0.649,0.6312,0.6149,woman,teenager,boy,guy,person,0.7166,0.6154,0.5909,0.5844,0.5731
10,600,woman,man,girl,person,womans,boy,0.7473,0.708,0.6548,0.621,0.6153,man,girl,teenager,person,prostitute,0.7166,0.7034,0.6366,0.6123,0.6069
10,600,computer,computers,software,laptop,smartphone,desktop,0.6913,0.5951,0.5676,0.5266,0.5216,computers,laptop,software,malware,encryption,0.7192,0.5756,0.5364,0.5325,0.5155
10,600,science,sciences,meteoritics,biology,mathematics,scientific,0.5723,0.565,0.5481,0.5457,0.5444,neuroscience,mathematics,sciences,astrophysics,astronomy,0.5824,0.5599,0.5534,0.5529,0.5464
10,600,university,universitys,professor,college,school,yale,0.7132,0.6028,0.593,0.5888,0.5687,universitys,sociology,undergraduate,college,institute,0.7054,0.5348,0.5186,0.5173,0.5147
10,600,student,students,graduate,teacher,school,undergraduate,0.6142,0.5577,0.5338,0.527,0.5131,students,classmate,undergraduate,undergraduates,graduate,0.5737,0.5386,0.5161,0.5126,0.5115
3,300,king,queen,uncrowned,mswati,yorkist,kamehameha,0.5959,0.5695,0.5674,0.565,0.5533,prince,queen,vi,kings,adulyadej,0.5464,0.533,0.5032,0.5031,0.503
3,300,queen,princess,majesty,monarch,duchess,jubilee,0.6769,0.6753,0.6649,0.6495,0.6319,princess,monarch,duchess,empress,queens,0.7112,0.5965,0.5734,0.5728,0.5421
3,300,man,woman,boy,person,teenager,bloke,0.7641,0.7068,0.6788,0.6695,0.6519,woman,teenager,boy,guy,bloke,0.7916,0.7334,0.7043,0.6699,0.6521
3,300,woman,man,girl,person,teenager,boy,0.7641,0.7245,0.6941,0.6858,0.6817,man,girl,teenager,prostitute,schoolgirl,0.7916,0.7692,0.7658,0.6957,0.6852
3,300,computer,computers,laptop,software,desktop,mainframe,0.7369,0.6828,0.6579,0.6404,0.6281,computers,laptop,software,malware,desktop,0.7824,0.675,0.6613,0.6521,0.6503
3,300,science,mathematics,physics,biology,astrophysics,astronomy,0.707,0.6665,0.6609,0.6602,0.6596,neuroscience,mathematics,sciences,physics,astrophysics,0.6907,0.6819,0.6718,0.6676,0.6491
3,300,university,universitys,univeristy,professor,institute,yale,0.7634,0.6993,0.6822,0.6759,0.672,universitys,luniversit,sociology,college,institute,0.7602,0.6655,0.6286,0.6177,0.616
3,300,student,teacher,graduate,students,undergraduate,pupil,0.6678,0.6428,0.6389,0.6296,0.6146,teacher,graduate,students,classmate,undergraduate,0.6556,0.6512,0.6336,0.6317,0.6211
3,600,king,queen,kings,prince,uncrowned,monarch,0.5412,0.5161,0.5142,0.5006,0.5002,prince,queen,kings,monarch,vi,0.4913,0.4891,0.4702,0.4698,0.4408
3,600,queen,princess,monarch,majesty,queens,duchess,0.6323,0.6146,0.6076,0.5871,0.5798,princess,monarch,empress,duchess,throne,0.6282,0.558,0.5153,0.5028,0.4966
3,600,man,woman,boy,teenager,person,girl,0.7472,0.6867,0.6559,0.6495,0.637,woman,teenager,boy,bloke,person,0.7458,0.6808,0.644,0.6092,0.5993
3,600,woman,man,girl,womans,person,teenager,0.7472,0.7307,0.6657,0.6651,0.6435,man,girl,teenager,person,schoolgirl,0.7458,0.7396,0.7031,0.6327,0.6162
3,600,computer,computers,laptop,software,desktop,firmware,0.7117,0.6325,0.6164,0.5706,0.5536,computers,laptop,software,malware,server,0.7535,0.6278,0.5806,0.576,0.5492
3,600,science,mathematics,sciences,physics,biology,scientific,0.6214,0.6095,0.6014,0.5981,0.5889,sciences,neuroscience,mathematics,physics,psychology,0.628,0.6223,0.6053,0.6006,0.5826
3,600,university,universitys,college,univeristy,yale,professor,0.7454,0.649,0.6333,0.6331,0.6301,universitys,luniversit,sociology,institute,mit,0.7433,0.6504,0.5986,0.572,0.5518
3,600,student,students,graduate,teacher,undergraduate,school,0.6506,0.6028,0.5996,0.5882,0.5548,students,undergraduate,graduate,classmate,pupil,0.6146,0.5797,0.5783,0.5736,0.567
